id,ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend,edited
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
