id,ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend,edited
0,50,50,50,50,50,50,50,100,50,100,100,50,0,50,50,50,50,True
1,100,0,0,100,100,100,0,100,0,100,100,100,0,50,100,100,100,True
2,100,100,50,100,100,100,100,100,50,100,100,50,50,0,100,100,100,True
3,100,0,100,100,100,0,0,100,0,100,100,100,0,50,100,100,100,True
4,100,100,100,100,100,100,100,100,50,100,100,100,0,50,100,100,100,True
5,100,0,50,100,100,0,0,100,50,100,100,100,0,50,50,100,100,True
6,50,0,50,50,100,100,0,50,50,100,50,50,0,50,50,50,100,True
7,100,50,0,100,100,100,100,100,50,100,50,100,0,50,50,100,100,True
8,50,50,0,50,50,50,50,100,50,100,50,50,0,50,100,50,50,True
9,100,100,100,100,100,100,100,100,50,100,100,100,0,50,100,100,100,True
